name,symbol,contract_address,decimal
Yoshi.exchange,YOSHI,0x4374F26F0148a6331905eDf4cD33B89d8Eed78d1,18
Phantasma Stake,SOUL,0x298Eff8af1ecEbbB2c034eaA3b9a5d0Cc56c59CD,8
Liquid Staking BNB,BNBx,0x1bdd3Cf7F79cfB8EdbB955f20ad99211551BA275,18
SwftCoin,SWFTC,0xe64e30276c2f826febd3784958d6da7b55dfbad3,18
Impossible Decentralized Incubator Access Token,IDIA,0x0b15ddf19d47e6a86a56148fb4afffc6929bcb89,18
TABOO TOKEN,TABOO,0x9abdba20edfba06b782126b4d8d72a5853918fd0,9
Meta Apes Peel,PEEL,0x734548a9e43d2D564600b1B2ed5bE9C2b911c6aB,18
UniCrypt on xDai on BSC,UNCX,0x09a6c44c3947b69e2b45f4d51b67e6a39acfb506,18
SquidGrow,SquidGrow,0x88479186BAC914E4313389a64881F5ed0153C765,19
Kalmar Token,KALM,0x4ba0057f784858a48fe351445c672ff2a3d43515,18
Splintershards,SPS,0x1633b7157e7638c4d6593436111bf125ee74703f,18
Ethereum Meta,ETHM,0xbb38f4b6e289aa900505c92bd9743bd4d3c8d2de,18
pStake Finance,PSTAKE,0x4C882ec256823eE773B25b414d36F92ef58a7c0C,18
ChainGPT,CGPT,0x9840652DC04fb9db2C43853633f0F62BE6f00f98,18
MarsDAO,MDAO,0x60322971a672b81bcce5947706d22c19daecf6fb,18
Scallop,SCLP,0xF2c96E402c9199682d5dED26D3771c6B192c01af,18
Gulf Coin,GULF,0x014a087b646Bd90E7DCEad3993F49EB1F4B5f30a,18
DEUS,DEUS,0xde5ed76e7c05ec5e4572cfc88d1acea165109e44,18
renBTC,renBTC,0xfce146bf3146100cfe5db4129cf6c82b0ef4ad8c,8
Imported GBYTE,GBYTE,0xeb34de0c4b2955ce0ff1526cdf735c9e6d249d09,18
LUCRO,LCR,0x988F7c894e4001EEB7B570CDE80dffE21CF7B6B9,9
Rupiah Token,IDRT,0x66207E39bb77e6B99aaB56795C7c340C08520d83,2
Vita Inu,VINU,0xfebe8c1ed424dbf688551d4e2267e7a53698f0aa,18
Symbiosis,SIS,0xf98b660adf2ed7d9d9d9daacc2fb0cace4f21835,18
Venus LTC,vLTC,0x57a5297f2cb2c0aac9d554660acd6d385ab50c6b,8
Seedify NFT Space,SNFTS,0x6f51a1674befdd77f7ab1246b83adb9f13613762,18
Hector,HEC,0x638EEBe886B0e9e7C6929E69490064a6C94d204d,9
pNetwork Token,PNT,0xdaacb0ab6fb34d24e8a67bfa14bf4d95d4c7af92,18
Prosper,PROS,0xed8c8aa8299c10f067496bb66f8cc7fb338a3405,18
Wrapped Banano,wBAN,0xe20b9e246db5a0d21bf9209e4858bc9a3ff7a034,18
EverRise,RISE,0xC17c30e98541188614dF99239cABD40280810cA3,18
MMPRO Token,MMPRO,0x6067490d05f3cf2fdffc0e353b1f5fd6e5ccdf70,18
Kunci Coin,KUNCI,0x6cf271270662be1c4fc1b7bb7d7d7fc60cc19125,6
