network,symbol,contract_address,method_ID,method
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0xa457c2d7,"decreaseAllowance(address,uint256)"
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0xa9059cbb,"transfer(address,uint256)"
ethereum,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0xdd62ed3e,"allowance(address,address)"
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0x06fdde03,name()
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0x095ea7b3,"approve(address,uint256)"
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0x18160ddd,totalSupply()
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0x23b872dd,"transferFrom(address,address,uint256)"
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0x313ce567,decimals()
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0x39509351,"increaseAllowance(address,uint256)"
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0x42966c68,burn(uint256)
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0x70a08231,balanceOf(address)
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0x95d89b41,symbol()
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0xa457c2d7,"decreaseAllowance(address,uint256)"
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0xa9059cbb,"transfer(address,uint256)"
ethereum,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,0xdd62ed3e,"allowance(address,address)"
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x06fdde03,name()
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x095ea7b3,"approve(address,uint256)"
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x18160ddd,totalSupply()
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x23b872dd,"transferFrom(address,address,uint256)"
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x313ce567,decimals()
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x39509351,"increaseAllowance(address,uint256)"
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x3f4ba83a,unpause()
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x46fbf68e,isPauser(address)
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x5c975abb,paused()
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x6ef8d66d,renouncePauser()
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x70a08231,balanceOf(address)
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x82dc1ec4,addPauser(address)
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x8456cb59,pause()
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0x95d89b41,symbol()
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0xa457c2d7,"decreaseAllowance(address,uint256)"
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0xa9059cbb,"transfer(address,uint256)"
ethereum,CHZ,0x3506424F91fD33084466F402d5D97f05F8e3b4AF,0xdd62ed3e,"allowance(address,address)"
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x05d2035b,mintingFinished()
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x06fdde03,name()
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x095ea7b3,"approve(address,uint256)"
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x17ffc320,reclaimToken(address)
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x18160ddd,totalSupply()
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x23b872dd,"transferFrom(address,address,uint256)"
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x313ce567,decimals()
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x3f4ba83a,unpause()
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x40c10f19,"mint(address,uint256)"
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x42966c68,burn(uint256)
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x4e71e0c8,claimOwnership()
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x5c975abb,paused()
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x66188463,"decreaseApproval(address,uint256)"
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x70a08231,balanceOf(address)
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x715018a6,renounceOwnership()
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x7d64bcb4,finishMinting()
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x8456cb59,pause()
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x8da5cb5b,owner()
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0x95d89b41,symbol()
ethereum,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xa9059cbb,"transfer(address,uint256)"
